vid,VKE lsit,GPT isVisual Label,GPT + Keywords isVisual Label
ws-uf6IzTdk.txt
,"Visual Key Event 1(non-visual): The speaker discusses the complex situation in Spain, particularly in Catalonia.",F,F
,Visual Key Event 2(visual): The speaker refers to King Felipe Sixth's speech and the general strike in Catalonia.,T,F
,Visual Key Event 3(visual): The speaker describes the protests in Barcelona and the harsh message from King Felipe Sixth blaming the Generalitat for the crisis.,T,F
,Visual Key Event 4(visual): The speaker describes the scene of King Felipe Sixth delivering a serious message at night.,T,F
,Visual Key Event 5(non-visual): The speaker discusses the warning from King Felipe Sixth about the fracture in Catalan society and the risk to Spain.,F,F
,Visual Key Event 6(non-visual): The speaker discusses the Generalitat's plans to take the results of the referendum to the local parliament to declare Catalonia's independence.,F,F
,Visual Key Event 7(non-visual): The speaker discusses the Spanish constitution and the autonomous government of Catalonia's desire to split from Spain.,F,F
,Visual Key Event 8(non-visual): The speaker discusses the Spanish constitution's Article 155 and the potential for the Spanish kingdom to dissolve the government of Catalonia.,F,F
,Visual Key Event 9(non-visual): The speaker compares the current situation to King Juan Carlos's speech in 1981 during a constitutional crisis.,F,F
,Visual Key Event 10(non-visual): The speaker discusses King Juan Carlos's actions during the 1981 crisis and his attempt to determine the extent of the rebellion.,F,F
,"Visual Key Event 11(non-visual): The speaker discusses the changes in Spain since the previous constitutional crisis, particularly the transition from Francisco Franco to Juan Carlos.",F,F
,Visual Key Event 12(non-visual): The speaker discusses Adolfo Suarez's actions to dismantle the Franco regime and legalize the socialist party.,F,F
,Visual Key Event 13(non-visual): The speaker discusses the decline of King Juan Carlos's reputation due to his mistakes and his love for hunting elephants.,F,F
,Visual Key Event 14(non-visual): The speaker discusses the current king's powers and his role as the supreme commander of the armed forces.,F,F
,Visual Key Event 15(non-visual): The speaker discusses the potential dissolution of the Catalan government and the current state of the parliamentary monarchy in Spain.,F,F
,Visual Key Event 16(non-visual): The speaker discusses the potential consequences of Mariano Rajoy's decision not to hold a referendum and the potential for Catalonia to secede.,F,F
TP0TzvtQSao.txt
,Visual Key Event 1(non-visual): The hosts introduce the show and reveal that they will be unboxing the Loot Crate for the month of August.,F,F
,Visual Key Event 2(non-visual): The hosts express their frustration about the late arrival of the Loot Crate and try to recall the theme for the August box.,F,F
,"Visual Key Event 3(visual): The hosts open the Loot Crate, noting that it is one of the heaviest they have received in a while.",T,T
,"Visual Key Event 4(non-visual): The hosts pull out The Walking Dead official cookbook and Survival Guide, expressing their excitement and sharing their own cookbook project.",F,F
,Visual Key Event 5(non-visual): The hosts discuss the upcoming season of The Walking Dead and express their sadness about it being Rick's last season.,F,F
,"Visual Key Event 6(visual): The hosts flip through the cookbook, commenting on the recipes and speculating that the cookbook might be set in Alexandria.",T,T
,Visual Key Event 7(visual): The hosts express their appreciation for the practicality of the cookbook and the fact that it includes real ingredients.,T,F
,Visual Key Event 8(visual): The hosts pull out a pair of Joker socks from The Killing Joke graphic novel and discuss the recent reveal of the new Joker.,T,T
,Visual Key Event 9(non-visual): The hosts discuss the design of the socks and the relevance of the Joker to the theme of chaos.,F,F
,Visual Key Event 10(non-visual): The hosts mention that it was recently Batman day and express their appreciation for the socks.,F,F
,"Visual Key Event 11(visual): The hosts pull out a large item from the box, which turns out to be a portal picnic blanket.",T,T
,Visual Key Event 12(visual): The hosts unfold the blanket and discuss its potential use for cosplay photos.,T,T
,Visual Key Event 13(non-visual): The hosts express their appreciation for the weighted blanket and its easy-to-clean material.,F,F
,Visual Key Event 14(visual): The hosts pull out a Batman-themed shirt from the box and admire the design.,T,T
,"Visual Key Event 15(non-visual): The hosts discuss the design of the shirt and move on to the next item, a pin.",F,F
,"Visual Key Event 16(non-visual): The hosts express their disappointment with the pin, stating that it doesn't fit the theme of the box.",F,F
,Visual Key Event 17(non-visual): The hosts discuss their overall impressions of the box and give it a rating of four and a half out of five.,F,F
,Visual Key Event 18(non-visual): The hosts finalize their rating and count down to the end of the review.,F,F
,Visual Key Event 19(non-visual): The hosts wrap up the review and encourage viewers to subscribe and turn on notifications.,F,F
,Visual Key Event 20(non-visual): The hosts conclude the review and disappear in a Batman-style vanish.,F,F
zfd1ZcS4sXE.txt
,"Visual Key Event 1(non-visual): The speaker introduces the video as a paint with me tutorial, explaining that it was not intended to be a tutorial but has become one due to the inclusion of explanatory notes.",F,F
,Visual Key Event 2(non-visual): The speaker discusses the upcoming release of the first part of the video series and mentions three types of sealant used in their doll-making process.,F,F
,"Visual Key Event 3(non-visual): The speaker explains their process of using the sealants, stating that they do not switch between them during a single doll's creation.",F,F
,"Visual Key Event 4(non-visual): The speaker discusses the first sealant, Mr. Super Clear, and its popularity in the doll community.",F,F
,"Visual Key Event 5(non-visual): The speaker discusses the second sealant, a UV-resistant clear acrylic coating, and warns about the potential for confusion between matte and gloss versions of the product.",F,F
,"Visual Key Event 6(non-visual): The speaker provides advice on using the UV-resistant clear acrylic coating, including a recommendation to test it on a non-essential part of the doll first.",F,F
,"Visual Key Event 7(non-visual): The speaker compares the UV-resistant clear acrylic coating to Mr. Super Clear, discussing the differences in drying and curing times.",F,F
,"Visual Key Event 8(non-visual): The speaker discusses their different sealing processes for personal dolls and commissioned dolls, explaining that commissioned dolls receive more layers of sealant for longevity.",F,F
,"Visual Key Event 9(non-visual): The speaker introduces the third sealant, Liquitex Professional Varnish, and mentions its use on larger dolls with extensive work like tattoos.",F,F
,"Visual Key Event 10(non-visual): The speaker discusses the use of Liquitex Professional Varnish on dyed dolls, explaining that it provides a matte finish and makes the dye job feel permanent.",F,F
,"Visual Key Event 11(non-visual): The speaker compares the matte finish of the Liquitex Professional Varnish to that of Mr. Super Clear and another sealant, Crayon's UV-resistant clear acrylic coating.",F,F
,"Visual Key Event 12(non-visual): The speaker discusses potential issues with mixing sealants, sharing a past experience of a gummy, sticky result from spraying too much at once.",F,F
,"Visual Key Event 13(non-visual): The speaker concludes the video by inviting viewers to ask questions about the sealants used, mentioning that they have experience with a variety of sealants on different types of dolls.",F,F
su7G18Flmpg.txt
,"Visual Key Event 1(visual): The speaker recalls his childhood interest in technology and electronics, culminating in a large project involving switches and lights.",T,F
,"Visual Key Event 2(non-visual): The speaker discusses his progression into more complex electronics, including obtaining a ham radio license and building parts with hundreds of transistors.",F,F
,"Visual Key Event 3(visual): The speaker recounts his high school experience of designing computers, reducing the number of parts required, and his ambition to own a computer.",T,F
,"Visual Key Event 4(non-visual): The speaker shares his determination to own a computer, even if it means living in an apartment.",F,F
,"Visual Key Event 5(non-visual): The speaker discusses the concept of seamless navigation, from the user to the car, and from the car to the final destination.",F,F
,Visual Key Event 6(non-visual): The speaker expresses the desire for a navigation system that provides guidance all the way to the destination.,F,F
,"Visual Key Event 7(non-visual): The speaker discusses the importance of an open platform for cars, allowing for universal connectivity.",F,F
,"Visual Key Event 8(non-visual): The speaker discusses the potential for technology to enhance the driving experience, but warns against the dangers of distraction.",F,F
,Visual Key Event 9(non-visual): The speaker discusses the potential for automated vehicles and the space this could free up for technology displays.,F,F
,"Visual Key Event 10(non-visual): The speaker discusses the complexity of car systems, with numerous processors and sensors, and the potential for these to improve safety.",F,F
,Visual Key Event 11(non-visual): The speaker discusses the advancements in voice recognition technology and its potential applications in car systems.,F,F
tl0fX2FnYPY.txt
,"Visual Key Event 1(non-visual): The vlogger introduces himself and shares his plans for the day, including a visit to the High Art Museum of Atlanta.",F,F
,Visual Key Event 2(visual): The vlogger shows his daughter eating breakfast and talks about their plans for the day.,T,T
